"id_turma";"codigo_turma";"siape";"matricula_docente_externo";"observacao";"id_componente_curricular";"ch_dedicada_periodo";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"57573251";"07";"1497808";"";"";"18716";"45";"TÉCNICO";"";"Sala 'M'";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"5T123";"0";"3";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57573252";"08";"350611";"";"";"18716";"45";"TÉCNICO";"";"Sala 'S'";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"6T123";"2";"3";"REGULAR";"false";"2016/05/24 05:10:10.385000000";"false";"";"45";"CONSOLIDADA";"";"Presencial"
"57573253";"09";"350611";"";"";"18716";"45";"TÉCNICO";"";"Sala 'S'";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"6T456";"0";"3";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57573254";"10";"1355384";"";"";"18716";"45";"TÉCNICO";"";"Sala 'E'";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"3T456";"1";"3";"REGULAR";"false";"2016/06/01 15:28:32.901000000";"false";"";"48";"CONSOLIDADA";"";"Presencial"
"57573255";"11";"1149514";"";"";"18716";"45";"TÉCNICO";"";"Sala 04";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"5T456";"3";"3";"REGULAR";"false";"2016/06/17 19:44:35.630000000";"false";"";"51";"CONSOLIDADA";"";"Presencial"
"57573256";"12";"2432978";"";"";"18716";"45";"TÉCNICO";"";"Sala 'Q'";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"5T123";"3";"2";"REGULAR";"false";"2016/06/21 16:00:52.914000000";"false";"";"51";"CONSOLIDADA";"";"Presencial"
"57573257";"13";"2432978";"";"";"18716";"45";"TÉCNICO";"";"Sala 'Q'";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"4T456";"1";"2";"REGULAR";"false";"2016/06/17 11:29:25.501000000";"false";"";"57";"CONSOLIDADA";"";"Presencial"
"57573258";"14";"1627429";"";"";"18716";"45";"TÉCNICO";"";"Sala 18";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"4T123";"1";"3";"REGULAR";"false";"2016/06/08 21:35:21.817000000";"false";"";"54";"CONSOLIDADA";"";"Presencial"
"57573259";"15";"2881572";"";"";"18716";"45";"TÉCNICO";"";"Sala 17";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"4T123";"1";"3";"REGULAR";"false";"2016/06/23 15:08:29.509000000";"false";"";"57";"CONSOLIDADA";"";"Presencial"
"57573260";"16";"1280456";"";"";"18716";"45";"TÉCNICO";"";"Sala 'S'";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"4T456";"1";"3";"REGULAR";"false";"2016/06/17 07:22:18.338000000";"false";"";"54";"CONSOLIDADA";"";"Presencial"
